Title,Journal,Publication Date,PubMed ID,Abstract
Clinical and biological correlates of optical coherence tomography findings in schizophrenia.,European archives of psychiatry and clinical neuroscience,2023 Apr 6,37022475,"There is a growing body of evidence indicating retinal layer thinning in schizophrenia. However, neuropathological processes underlying these retinal structural changes and its clinical correlates are yet to be known. Here, we aim to investigate the clinical and biological correlates of OCT findings in schizophrenia. 50 schizophrenia patients and 40 healthy controls were recruited. Retinal nerve fiber layer (RNFL), ganglion cell layer (GCL), inner plexiform layer (IPL), and macular and choroidal thicknesses were recorded. A comprehensive battery of neuropsychological tests was applied. Fasting glucose, triglycerides and HDL-cholesterol levels, TNF-alpha, IL-1beta and IL-6 levels were measured. Right IPL was significantly thinner in patients than the controls after controlling for various confounders (F = 5.42, p = .02). Higher IL-6, IL-1beta, and TNF-alpha levels were associated with decreased left macular thickness (r =  - 0.26, p = .027, r =  - 0.30, p = 0.012, and r =  - 0.24, p = .046, respectively) and higher IL-6 was associated with thinning of right IPL (r =  - 0.27, p = 0.023) and left choroid (r =  - 0.23, p = .044) in the overall sample. Thinning of right IPL and left macula were also associated with worse executive functioning (r = 0.37, p = 0.004 and r = 0.33, p = 0.009) and attention (r = 0.31, p = 0.018 and r = 0.30, p = 0.025). In patients with schizophrenia, IPL thinning was associated with increased BMI (r =  - 0.44, p = 0.009) and decreased HDL levels (r = 0.43, p = 0.021). Decreased TNF-alpha level was related to IPL thinning, especially in the left eye (r = 0.40, p = 0.022). These findings support the hypothesis that OCT might provide the opportunity to establish an accessible and non-invasive probe of brain pathology in schizophrenia and related disorders. However, future studies investigating retinal structural changes as a biological marker for schizophrenia should also consider the metabolic state of the subjects."
How many children with large clear cornea do not have glaucoma?,European journal of ophthalmology,2023 Apr 6,37021409,"PURPOSE: A horizontal corneal diameter greater than 2 standard deviations from the mean (9.8 mm) or greater than 11 mm in term infants defines megalocornea (herein referred to as a large clear cornea). The aim of the current study was to report on the incidence and clinical characteristics of children presenting with large clear cornea that do not suffer glaucoma. METHODS: A retrospective chart review of children presenting with large clear cornea to the pediatric ophthalmology unit of the ophthalmology department of Alexandria Main University Hospital in the period from March 2011 to December 2020 was conducted. A large clear cornea was defined as a horizontal white-to-white corneal diameter (as measured by calipers) greater than 12 mm. Glaucoma was diagnosed according to the childhood glaucoma research network (CGRN) criteria and the axial length was used to filter out eyes with large clear corneas due to congenital high myopia. RESULTS: Out of 120 eyes of 91 (58 males) children a total of 76 eyes of 67 (41 males) children were diagnosed with glaucoma and 44 eyes of 24 (17 males) children (36.7%) did not suffer glaucoma. Out of these, 30 eyes were classified as myopia and 14 eyes as congenital megalocornea. CONCLUSIONS: More than one third of eyes presenting with large clear corneas may not have glaucoma, and almost two thirds of these eyes (that are not suffering from glaucoma) demonstrate axial myopia."
Sex-based electroclinical differences and prognostic factors in epilepsy with eyelid myoclonia.,Epilepsia,2023 Apr 5,37021337,"Although a striking female preponderance has been consistently reported in epilepsy with eyelid myoclonia (EEM), no study has specifically explored the variability of clinical presentation according to sex in this syndrome. Here, we aimed to investigate sex-specific electroclinical differences and prognostic determinants in EEM. Data from 267 EEM patients were retrospectively analyzed by the EEM study group, and a dedicated multivariable logistic regression analysis was developed separately for each sex. We found that females with EEM showed a significantly higher rate of persistence of photosensitivity and eye closure sensitivity at the last visit, along with a higher prevalence of migraine with aura, whereas males with EEM presented a higher rate of borderline intellectual functioning/intellectual disability. In female patients, multivariable logistic regression analysis revealed age at epilepsy onset, eyelid myoclonia status epilepticus, psychiatric comorbidities and catamenial seizures as significant predictors of drug resistance. In male patients, a history of febrile seizures was the only predictor of drug resistance. Hence, our study reveals sex-specific differences both in terms of electroclinical features and prognostic factors. Our findings support the importance of a sex-based personalized approach in epilepsy care and research, especially in genetic generalized epilepsies."
Cardiac autonomic control in Rett syndrome: Insights from heart rate variability analysis.,Frontiers in neuroscience,2023,37021139,"Rett syndrome (RTT) is a rare and severe neurological disorder mainly affecting females, usually linked to methyl-CpG-binding protein 2 (MECP2) gene mutations. Manifestations of RTT typically include loss of purposeful hand skills, gait and motor abnormalities, loss of spoken language, stereotypic hand movements, epilepsy, and autonomic dysfunction. Patients with RTT have a higher incidence of sudden death than the general population. Literature data indicate an uncoupling between measures of breathing and heart rate control that could offer insight into the mechanisms that lead to greater vulnerability to sudden death. Understanding the neural mechanisms of autonomic dysfunction and its correlation with sudden death is essential for patient care. Experimental evidence for increased sympathetic or reduced vagal modulation to the heart has spurred efforts to develop quantitative markers of cardiac autonomic profile. Heart rate variability (HRV) has emerged as a valuable non-invasive test to estimate the modulation of sympathetic and parasympathetic branches of the autonomic nervous system (ANS) to the heart. This review aims to provide an overview of the current knowledge on autonomic dysfunction and, in particular, to assess whether HRV parameters can help unravel patterns of cardiac autonomic dysregulation in patients with RTT. Literature data show reduced global HRV (total spectral power and R-R mean) and a shifted sympatho-vagal balance toward sympathetic predominance and vagal withdrawal in patients with RTT compared to controls. In addition, correlations between HRV and genotype and phenotype features or neurochemical changes were investigated. The data reported in this review suggest an important impairment in sympatho-vagal balance, supporting possible future research scenarios, targeting ANS."
Congenital insensitivity to pain associated with PRDM12 mutation: Two case reports and a literature review.,Frontiers in genetics,2023,37021010,"Background: PRDM12 is a newly discovered gene responsible for congenital insensitivity to pain (CIP). Its clinical manifestations are various and not widely known. Methods: The clinical data of two infants diagnosed with CIP associated with PRDM12 mutation were collected. A literature review was performed, and the clinical characteristics of 20 cases diagnosed with a mutation of PRDM12 were summarized and analyzed. Results: Two patients had pain insensitivity, tongue and lip defects, and corneal ulcers. The genomic analysis results showed that variants of PRDM12 were detected in the two families. The case 1 patient carried heterozygous variations of c.682+1G > A and c.502C > T (p.R168C), which were inherited from her father and mother, respectively. We enrolled 22 patients diagnosed with CIP through a literature review together with our cases. There were 16 male (72.7%) and 6 female (27.3%) patients. The age of onset ranged from 6 months to 57 years. The prevalence of clinic manifestation was 14 cases with insensitivity to pain (63.6%), 19 cases with self-mutilation behaviors (86.4%), 11 cases with tongue and lip defects (50%), 5 cases with mid-facial lesions (22.7%), 6 cases with distal phalanx injury (27.3%), 11 cases of recurrent infection (50%), 3 cases (13.6%) with anhidrosis, and 5 cases (22.7%) with global developmental delay. The prevalence of ocular symptoms was 11 cases (50%) with reduced tear secretion, 6 cases (27.3%) with decreased corneal sensitivity, 7 cases (31.8%) with disappeared corneal reflexes, 5.5 cases (25%, 0.5 indicated a single eye) with corneal opacity, 5 cases (22.7%) with corneal ulceration, and 1 case (4.5%) with a corneal scar. Conclusion: The syndrome caused by PRDM12 mutation is a clinically distinct and diagnosable disease that requires joint multidisciplinary management to control the development of the disease and minimize the occurrence of complications."
Ocular biological parameters and prevalence of myopia in vocational high school and general high school in China.,Frontiers in public health,2023,37020816,"SIGNIFICANCE: Higher prevalence of myopia is possibly associated with more extended schooling schedules. Therefore, adjustments to high school curricula may aid in reducing the prevalence of myopia among adolescents. PURPOSE: To investigate the prevalence of myopia among 15- to 18-year-old adolescents in Tianjin, China, and to evaluate the impact of different educational schedules on the prevalence of myopia among high school students. METHODS: This is a school-based epidemiological study with a cross-sectional design. Ocular biological parameters and noncycloplegic photorefraction were examined using optical biometry devices and photoscreener devices. Each student's spherical equivalent (SE) and ocular biometry were recorded, and the prevalence of myopia was calculated. RESULTS: A total of 2,867 participants (1,519 males and 1,348 females) were tested for non-cycloplegic refraction, axial length (AL), central corneal thickness (CCT), anterior chamber depth (ACD) and lens thickness (LT). In this research, the overall prevalence of myopia was 81.6%, with high myopia accounting for 11.8%. Myopia prevalence was substantially higher in general high schools than in vocational high schools, with 86.1 and 70.1%, respectively. There were no significant differences in the prevalence of myopia (p = 0.744) or high myopia (p = 0.851) across the three vocational school years. In the general high school, however, there was an increase of 4.6% (p < 0.05) in myopia prevalence between year 10 and year12. CONCLUSION: Comparing vocational and standard high school students, there are considerable disparities in prevalence of myopia, spherical equivalent, and ocular biological parameters. The prevalence of myopia and high myopia increased among standard high school students, but remained relatively consistent among students in vocational schools."
Clinical Observation of Low-Temperature Plasma Ablation Combined with Drug Therapy in the Treatment of Fungal Keratitis.,Infection and drug resistance,2023,37020797,"OBJECTIVE: To observe the efficacy and prognosis of low-temperature plasma ablation + drug therapy in the treatment of fungal corneal ulcers. METHODS: The present paper presents a retrospective clinical study with a subject base of 34 eyes. Patients with a fungal corneal ulcer who visited the Affiliated Eye Hospital of Nanchang University between August 2019 and December 2021 were selected as the study participants. They were found to have highly reflective fungal hyphae in the corneal stroma layer via confocal microscope examination, which were revealed to be positive on etiology examination, with the ulcer and infiltration depths </=1/2 of the corneal thickness. The efficacy and prognosis were observed after treatment with low-temperature plasma ablation + drug therapy. RESULTS: A total of 34 cases (34 eyes) had clinical manifestations of corneal infiltration and corneal ulcer formation, with a corneal lesion diameter of 1.31-8.64 mm (average = 4.79 +/- 2.03 mm). The average healing time of corneal ulcers was 6.2 +/- 1.7 days. Among a total of 34 cases (34 eyes) in patients with fungal keratitis, the infection was controlled and the ulcers gradually healed after treatment with low-temperature plasma system + drug therapy in a total of 30 cases (30 eyes, 88%). A total of three cases (3 eyes, 9%) exhibited no clear improvement after the treatment, and the patients underwent conjunctival flap covering surgery. One case (one eye, 3%) exhibited no clear improvement after further treatment, with the patient experiencing corneal perforation and ultimately undergoing penetrating keratoplasty. CONCLUSION: Low-temperature plasma ablation + drug therapy can effectively control the progression of fungal keratitis infection, as well as significantly shorten the ulcer healing time, and is, therefore, an effective method."
"Knowledge domain, research hotspots and frontiers in physiology teaching reforms from 2012 to 2021: A bibliometric and knowledge-map analysis.",Frontiers in medicine,2023,37020677,"OBJECTIVE: To identify author collaborations and impact; participating countries, institutions, and journals; evaluate the knowledge base; and analyze research hotspots and frontiers in teaching reforms in physiology. METHODS: Articles and reviews related to teaching reforms in physiology published between January 1, 2012, and December 31, 2021, were obtained from the Web of Science Core Collection. Two Scientometric software applications (CiteSpace 5.7 and VOSviewer 1.6.15) were used to perform bibliometric and knowledge-map analysis, generate network maps, and identify research trends and top keywords, authors, co-cited authors, institutions, countries, journals, and references. RESULTS: The search identified a total of 2,882 papers in 466 academic journals by 13,895 authors from 4,072 organizations in 67 countries/regions. Physiology teaching reform-related publications increased rapidly over time. Arango-Lasprilla and Rivera published the most papers, while Moseley had the most co-citations. Active collaborations among physiology researchers were noted. Advances in Physiology Education published the most papers on physiology teaching reforms and was also the top co-cited journal in the Medicine/Medical/Clinical, Psychology/Education/Health, and Neurology/Sports/Ophthalmology fields. The United States and University of California published the most physiology teaching publications in the search criteria. Ten references (research articles and reviews) on mechanisms and diseases were identified as the knowledge base. The mainstream research directions were education, Alzheimer's disease, performance, physiology, and risk factors. Mental health and emotion regulation are increasing in significance and may become new hotspots. The research trend to move from the field of pain pathogenesis to the field of neuropsychiatry has become increasingly clear. This tendency away from peripheral system-based disorders to central system-based orders is inextricably linked to further developments in physiological understanding of the brain. CONCLUSION: This study analyzed the research hot spots and frontiers of teaching reforms on in physiology using bibliometric and visual methods. Based on the results, rehabilitation, neurosciences, and infectious disease are hot topics in physiology. In particular, the pathogenesis of neurological diseases, treatment strategies, and technology updates have gradually become research hotspots. We predict that this trend is closely related to the implementation of brain research programs in various countries. These findings provide helpful references for scholars focusing on physiology education."
Characterization of dysbiosis of the conjunctival microbiome and nasal microbiome associated with allergic rhinoconjunctivitis and allergic rhinitis.,Frontiers in immunology,2023,37020561,"BACKGROUND: Allergic rhinoconjunctivitis (ARC) and allergic rhinitis (AR) are prevalent allergic diseases. People are becoming increasingly aware of the impact of microbial disorders on host immunity and allergic diseases. Studies have demonstrated an association between allergic diseases and the microbiome, but much remains unknown. We assessed changes in the conjunctival microbiome and nasal microbiome in patients with ARC or AR. METHODS: Conjunctival swabs and nasal swabs were collected from each participant for 16S rRNA amplicon sequencing. Bacterial communities were analyzed. RESULTS: Forty patients with ARC, 20 patients suffering from AR, and 34 healthy controls (HCs) were recruited. This study found the abundance of conjunctival microbiome in patients with ARC or AR was significantly lower than that in HCs. The diversity of conjunctival microbiome in patients with AR was significantly lower than those in the other two groups. There is no significant difference in abundance of nasal microbiome between the three groups. The diversities of nasal microbiome in patients with ARC or AR were significantly lower than that in HCs. We found significant differences in microbiota compositions in patients with ARC or AR compared with those in HCs. However, no significant difference in microbiota compositions was found between patients with ARC and patients with AR. Microbiome functions in the ARC group and AR group were also altered compared with HCs. CONCLUSIONS: We revealed changes in the composition and function of the conjunctival microbiome and nasal microbiome of patients with ARC or AR, which suggests that there is a relationship between allergic conditions and the local microbiome."
Ankylosing spondylitis and glaucoma in European population: A Mendelian randomization study.,Frontiers in immunology,2023,37020551,"BACKGROUND: The relationship between ankylosing spondylitis (AS) and glaucoma in the European population remains unclear. In the present study, we applied a two-sample Mendelian randomization (MR) method to investigate their causal relationship. METHODS: MR analysis was conducted to validate the causal associations between AS with glaucoma using summary statistics from the genome-wide association studies of AS (9,069 cases and 13,578 control subjects) and glaucoma (8,591 cases and 210,201 control subjects). The inverse variance weighting method was performed to evaluate the causal relationship. The MR-Egger regression approach was applied to assess pleiotropy, while Cochran's Q test was used to analyze heterogeneity. Subgroup analysis was performed according to primary open-angle glaucoma (POAG) and primary angle-closure glaucoma (PACG). RESULTS: The results of the MR study reveal a risk-increasing causal relationship between AS and glaucoma among European populations (OR = 1.35, 95%CI = 1.16-1.57, P = 8.81 x 10(-5)). Pleiotropy and heterogeneity were not found in our study. In the subgroup analysis, AS was also causal with POAG (OR = 1.48, 95%CI = 1.17-1.86, P = 8.80 x 10(-4)) and PACG (OR = 1.91, 95%CI = 1.03-3.51, P = 3.88 x 10(-2)). CONCLUSION: The results of the MR analysis suggested a causal relationship between AS and glaucoma in the European population. Further studies are needed to identify the specific mechanism between these two diseases."
Lateral septum adenosine A(2A) receptors control stress-induced depressive-like behaviors via signaling to the hypothalamus and habenula.,Nature communications,2023 Apr 5,37019936,"Major depressive disorder ranks as a major burden of disease worldwide, yet the current antidepressant medications are limited by frequent non-responsiveness and significant side effects. The lateral septum (LS) is thought to control of depression, however, the cellular and circuit substrates are largely unknown. Here, we identified a subpopulation of LS GABAergic adenosine A(2A) receptors (A(2A)R)-positive neurons mediating depressive symptoms via direct projects to the lateral habenula (LHb) and the dorsomedial hypothalamus (DMH). Activation of A(2A)R in the LS augmented the spiking frequency of A(2A)R-positive neurons leading to a decreased activation of surrounding neurons and the bi-directional manipulation of LS-A(2A)R activity demonstrated that LS-A(2A)Rs are necessary and sufficient to trigger depressive phenotypes. Thus, the optogenetic modulation (stimulation or inhibition) of LS-A(2A)R-positive neuronal activity or LS-A(2A)R-positive neurons projection terminals to the LHb or DMH, phenocopied depressive behaviors. Moreover, A(2A)R are upregulated in the LS in two male mouse models of repeated stress-induced depression. This identification that aberrantly increased A(2A)R signaling in the LS is a critical upstream regulator of repeated stress-induced depressive-like behaviors provides a neurophysiological and circuit-based justification of the antidepressant potential of A(2A)R antagonists, prompting their clinical translation."
Retrospective analysis of cataract surgery outcomes in China from 2009 to 2018: from a national registry system data.,BMJ open,2023 Apr 5,37019483,"OBJECTIVE: To evaluate patients' benefits after cataract surgery and to form recommendations for Chinese national health policy decision makers and administration departments based on the quality of cataract treatments. METHOD: An observational study based on real-world data source from the National Cataract Recovery Surgery Information Registration and Reporting System. RESULTS: A total of 14 157 463 original records were reported from 1 July 2009 to 31 December 2018. The factors that influenced the 3-day postsurgical best-corrected visual acuity (BCVA), the primary outcome, were analysed by logistic regression analysis. We found that a history of hypertension (OR=0.916) or diabetes (OR=0.912), presurgical pupil abnormality (OR=0.571) and high intraocular pressure (OR=0.578) were harmful to the postsurgical BCVA improvement (BCVA >/=6/20), while male sex (OR=1.113), better presurgical BCVA level (OR=5.996 for >/=6/12-<6/7.5 and OR=2.610 for >6/60-<6/12 taken </=6/60 as reference), age-related cataract (OR=1.825) and intraocular lens implantation (OR=1.886) were statistically beneficial to the postsurgical BCVA improvement. Compared with extracapsular cataract extraction (ECCE) with large incision, the ECCE with small incision (OR value=1.810) and the phacoemulsification (OR=1.420) significantly improved the benefit probability. CONCLUSION: ECCE with small incision has comparable effects on postsurgical BCVA improvement of phacoemulsification. Therefore, ECCE could be an alternative cataract surgical treatment in economically underdeveloped areas in China, provided the surgeons are adequately trained."
TET2-mediated upregulation of 5-hydroxymethylcytosine in LRRC39 promoter promotes Th1 responses in association with downregulated Treg response in Vogt-Koyanagi-Harada disease.,"Clinical immunology (Orlando, Fla.)",2023 Apr 3,37019422,"DNA 5-Hydroxymethylcytosine (5-hmC), an oxidative reaction mediated by the ten-eleven translocation (TET) family, has been reported to play an essential role in the progression of auto-inflammatory and autoimmune diseases. By far, little is known about the effect of DNA 5-hmC and the TET family on the development of Vogt-Koyanagi-Harada (VKH) disease. In this study, we discovered that the global DNA 5-hmC level and the TET activity were elevated in association with the up-regulated expression of TET2 at both mRNA and protein levels in CD4(+)T cells from active VKH patients compared to healthy controls. Integrated analysis of DNA 5-hmC pattern and transcription profile of CD4(+) T cells revealed that 6 candidate target genes were involved in the development of VKH disease. The promoter 5-hmC and mRNA levels of leucine rich repeat containing 39 (LRRC39) were verified to be elevated in active VKH patients. Functional experiments showed that TET2 could up-regulate LRRC39 mRNA expression by increasing the promoter 5-hmC level of LRRC39 in CD4(+) T cells from active VKH patients. Up-regulated LRRC39 expression could increase the frequencies of IFN-gamma(+) and IL-17(+) CD4(+) T cells as well as the secretions of IFN-gamma and IL-17 in association with the decreased frequency of CD4(+)CD25(+)FOXP3(+) regulatory T (Treg) cells and the reduced production of IL-10. Additionally, restoration of LRRC39 rescued TET2-silencing-mediated reduced frequency of IFN-gamma(+) CD4(+) T cells and increased frequency of CD4(+)CD25(+)FOXP3(+) Treg cells. Collectively, our study reveals a novel axis, TET2-5-hmC-LRRC39-Th1/Treg responses axis, in the pathogenesis of VKH and provides a potential target for further investigation into the epigenetic therapy of this disease."
Erdheim-Chester disease with chorioretinal and orbital involvement: a case report.,Arquivos brasileiros de oftalmologia,2023 Apr 3,37018824,"A 42-year-old woman presented with bilateral proptosis, chemosis, leg pain, and vision loss. Orbital, chorioretinal, and multi-organ involvement of Erdheim-Chester disease, a rare non-Langerhans histiocytosis, with a negative BRAF mutation was diagnosed based on clinical, radiological, and pathological findings. Interferon-alpha-2a (IFNalpha-2a) was started, and her clinical condition improved. However, 4 months later, she had vision loss with a history of IFNalpha-2a cessation. The same therapy was administered, and her clinical condition improved. The Erdheim-Chester disease is a rare chronic histiocytic proliferative disease that requires a multidisciplinary approach and can be fatal if left untreated because of multisystemic involvements."
PRPH2 mutation c.582-1G>A causing adult-onset macular dystrophy with a benign concentric annular macular dystrophy phenotype in a family.,Arquivos brasileiros de oftalmologia,2023 Apr 3,37018821,"The peripherin gene (PRPH2) mutation is associated with photoreceptor cell dysfunction as well as in several inherited retinal dystrophies. The PRPH2 mutation c.582-1G>A is a rare variant reported in retinitis pigmentosa and pattern dystrophy. Here Case 1 was of a 54-year-old woman with bilateral atrophy of the perifoveal retinal pigmentary epithelium and choriocapillaris with central foveolar respect. Autofluorescence and fluorescein angiography revealed perifoveal atrophy of the retinal pigmentary epithelium with an annular window effect without the ""dark choroid"" sign. Case 2 (mother of Case 1) presented with extensive atrophy of the retinal pigmentary epithelium and choriocapillaris. PRPH2 was evaluated and the c.582-1G>A mutation was identified in heterozygosity. An advanced adult-onset benign concentric annular macular dystrophy diagnosis was thereby proposed. The c.582-1G>A mutation is poorly known and not present in all common genomic databases. This case report is the first one to report a c.582-1G>A mutation associated with benign concentric annular macular dystrophy."
Biomechanical Responses of Different Cap Thicknesses of Corneas After Small Incision Lenticule Extraction: Finite Element Analysis.,Translational vision science & technology,2023 Apr 3,37017958,"PURPOSE: This study analyzed the biomechanical responses of different corneal cap thicknesses after small incision lenticule extraction (SMILE). METHODS: Individual finite element models of myopic eyes were constructed based on the clinical data. Then, four types of corneal cap thicknesses after SMILE were included for each model. The biomechanical effects of material parameters and intraocular pressure on corneas with different cap thicknesses were analyzed. RESULTS: When the cap thickness increased, the vertex displacements of the anterior and posterior corneal surfaces decreased slightly. The corneal stress distributions demonstrated little change. Regarding wave-front aberrations caused by the displacements of the anterior surface, the absolute defocus value decreased slightly, but the magnitude of primary spherical aberration increased slightly. The horizontal coma increased, and the levels of other low-order and high-order aberrations were small and demonstrated little change. The corneal vertex displacement and wave-front aberration were significantly affected by elastic modulus and intraocular pressure, whereas the corneal stress distribution was greatly affected by intraocular pressure. There were obvious individual differences in the biomechanical responses of human eyes. CONCLUSIONS: The biomechanical difference of different corneal cap thicknesses after SMILE was small. The effect of corneal cap thickness was significantly less than that resulting from material parameters and intraocular pressure. TRANSLATIONAL RELEVANCE: Individual models were constructed based on the clinical data. The elastic modulus was controlled by programming to simulate its heterogeneous distribution in the actual human eye. The simulation was improved to bridge the gap between basic research and clinical care."
Integrative Single-Cell Transcriptomics and Epigenomics Mapping of the Fetal Retina Developmental Dynamics.,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",2023 Apr 5,37017569,"The underlying mechanisms that determine gene expression and chromatin accessibility in retinogenesis are poorly understood. Herein, single-cell RNA sequencing and single-cell assay for transposase-accessible chromatin sequencing are performed on human embryonic eye samples obtained 9-26 weeks after conception to explore the heterogeneity of retinal progenitor cells (RPCs) and neurogenic RPCs. The differentiation trajectory from RPCs to 7 major types of retinal cells are verified. Subsequently, diverse lineage-determining transcription factors are identified and their gene regulatory networks are refined at the transcriptomic and epigenomic levels. Treatment of retinospheres, with the inhibitor of RE1 silencing transcription factor, X5050, induces more neurogenesis with the regular arrangement, and a decrease in Muller glial cells. The signatures of major retinal cells and their correlation with pathogenic genes associated with multiple ocular diseases, including uveitis and age-related macular degeneration are also described. A framework for the integrated exploration of single-cell developmental dynamics of the human primary retina is provided."
Impact of the RNA allosteric effect triggered by single nucleotide polymorphisms on the splicing process.,Human molecular genetics,2023 Apr 5,37017337,"The susceptibility single nucleotide polymorphisms (SNPs) obtained by genome-wide association studies (GWAS) leave some thorny questions, such as prioritization, false positives, and unknown pathogenesis. Previous studies suggested that genetic variation may perturb the RNA secondary structure (RSS), influence protein recruitment and binding, and ultimately affect splicing processes. Therefore, exploring the perturbation of SNPs to structure-function correlations may provide an effective bridge toward understanding the genetic contribution to diseases. Here, aiming to decipher the regulatory mechanism of myopia susceptibility variants, we systematically evaluated the roles of SNP-induced structural changes during splicing. 7.53% of myopia-related SNPs exhibited significant global structural changes, 19.53% presented noteworthy local structural disturbance, and there were wide-ranging structural perturbations in the splice-related motifs. We established a comprehensive evaluation system for structural disturbance in the splicing-related motifs, and gave the priority ranking for the SNPs at RNA structural level. These high-priority SNPS were revealed to widely disturb the molecular interaction properties between splicing-related proteins and pre-mRNAs by HDOCK. Moreover, mini-gene assays confirmed that structural perturbation could influence splicing efficiency through structural remodelling. This study deepens our understanding of the potential molecular regulatory mechanisms of susceptible SNPs in myopia, and contributes to personalized diagnosis, personalized medicine, disease-risk prediction, and functional verification study by guiding the prioritization of the susceptibility SNPs."
Predictive factors for treatment outcomes with intravitreal anti-vascular endothelial growth factor injections in diabetic macular edema in clinical practice.,International journal of retina and vitreous,2023 Apr 4,37016462,"BACKGROUND: Intravitreal anti-vascular endothelial growth factor (anti-VEGF) injections are the standard of care for diabetic macular edema (DME), a common complication of diabetes. This study aimed to identify factors influencing DME intravitreal anti-VEGF treatment outcomes in real-world practice. METHODS: This was a multi-center retrospective observational study using medical chart review of participants receiving anti-VEGF injections for DME (N = 248). Demographic and clinical variables were assessed for association with best corrected visual acuity (BCVA) and central macular thickness (CMT) outcomes using regression models. RESULTS: There was a significant improvement in BCVA (p < 0.001) and CMT (p < 0.001) after 12 months of treatment, although 21% of participants had decreased BCVA, and 41% had a < 10% CMT reduction at 12 months. Higher baseline BCVA (p = 0.022, OR=-0.024, 95% CI=-0.046,-0.004) and longer duration of diabetic retinopathy (p = 0.048, OR=-0.064, 95% CI=-0.129,-0.001) were negative predictors for BCVA response, whereas Aflibercept treatment (p = 0.017, OR = 1.107, 95% CI = 0.220,2.051) compared with other drugs and a positive ""early functional response"" (p < 0.001, OR=-1.393, 95% CI=-1.946,-0.857) were positive predictors. A higher baseline CMT (p < 0.001, OR = 0.019, 95% CI = 0.012,0.0261) and an ""early anatomical response"", (p < 0.001, OR=-1.677, 95% CI=-2.456, -0.943) were predictors for greater reduction in CMT. Overall, the variables could predict only 23% of BCVA and 52% of CMT response. CONCLUSIONS: The study shows a significant proportion of DME patients do not respond to anti-VEGF therapy and identifies several clinical predictors for treatment outcomes. TRIAL REGISTRATION: The study was approved through the Human Research Ethics Committee, University of Tasmania (approval number H0012902), and the Southern Adelaide Clinical Human Research Ethics Committee (approval number 86 - 067)."
Time outdoors positively associates with academic performance: a school-based study with objective monitoring of outdoor time.,BMC public health,2023 Apr 4,37016357,"BACKGROUND: To explore the relationship between outdoor time and academic performance among school-aged children. METHODS: This study was designed as a cross-sectional study. Data were derived from a school-based prospective children myopia intervention study (STORM). Outdoor time was recorded by self-developed algorithm-validated wristwatches in real-time and calculated as the cumulative average of 10 months. The academic performance was recorded and provided by the participating schools and further standardized. Other information was collected using an online standardized questionnaire. Mixed-effects model and B-Spline method were used to investigate the association between time spent on different types of daily activity, including outdoor activity and academic performance. RESULTS: A total of 3291 children with mean age 9.25 years were included in the final analysis. Overall, outdoor time was associated with academic performance in a non-linear manner; specifically, not exceeding 2.3 h per day, outdoor time was positively associated with academic performance; exceeding 2.3 h per day, this association became non-significant. Likewise, daily sleep duration and out-of-school learning time were associated with academic performance in a non-linear manner, resulting in turning points of 11.3 and 1.4 h per day, respectively. Separate analysis showed that outdoor time and sleep duration but not out-of-school learning time were positively associated with academic performance in Chinese, mathematics and English. CONCLUSION: Outdoor time, sleep duration and out-of-school learning time were associated with academic performance in a non-linear manner. Promotion of outdoor time may not negatively impact on academic performance. TRIAL REGISTRATION: Our study was registered in ClinicalTrials.gov (Identifier: NCT02980445)."
"China Glaucoma Treatment Pattern Study I-Primary Angle-Closure Glaucoma: protocol for a multicentre, retrospective, observational study.",BMJ open,2023 Apr 4,37015785,"INTRODUCTION: Primary angle-closure glaucoma (PACG) is a leading cause of irreversible blindness globally, and the number of patients with PACG rises every year. Yet, there is a lack of knowledge about the clinical characteristics, therapeutic options and profile of patients with PACG in China. Hence, we design the China Glaucoma Treatment Pattern Study Ⅰ-Primary Angle-Closure Glaucoma (Ch-GTPⅠ). The objective of this paper is to describe the design and methodology of Ch-GTP. The aim of this study is to characterise the profile and trend associated with initial PACG treatment for the last 10 years in China. METHODS: Ch-GTPⅠ is a national multicentre retrospective observational study that will randomly sample from 50 hospitals throughout China. Over 7000 patient records hospitalised for initial PACG treatment from 2011 to 2020 will be selected randomly. The data from electronic medical records will be uploaded to an encrypted online platform that will receive and collate data from all collaborating hospitals. Data abstraction and monitoring will be performed in a standardised manner by trained statisticians to ensure consistency. Systematic data cleaning will also be conducted by statisticians to ensure data integrity before final data storage. The outcomes will include four broad categories: (1) demographics, (2) clinical characteristics, (3) therapeutic strategies and procedures and (4) early outcomes at discharge. The demographic characteristics and early outcomes will be summarised using descriptive statistics. Comparative analyses of characteristics and treatment pattern changing trends for different regions and years will be used to test for significant differences (t-test or Mann-Whitney U test). ETHICS AND DISSEMINATION: The collaborating hospitals obtained local approval based on a standard ethics application from internal ethics committees or acknowledged an existent ethics approval of the leading institution with approval from internal ethics committees. Due to the retrospective nature, written informed consent from patients was waived by the ethics committee. The results will be published in academic journals and presented at national and international academic conferences. TRIAL REGISTRATION NUMBER: ChiCTR2100054643."
